Date and Time,Humidity,Temperature,CO2,CO,PM2.5 Density
2024-07-03 23:31:12,80,31.3000,279.1925,0.2327,22.1762
2024-07-03 23:31:32,80,31.3000,280.5006,0.2342,7.3254
2024-07-03 23:31:52,80,31.3000,280.3350,0.2340,38.7856
2024-07-03 23:32:12,80,31.3000,278.7036,0.2321,15.1416
2024-07-03 23:32:32,80,31.3000,276.6488,0.2298,23.7394
2024-07-03 23:32:52,80,31.6000,277.9936,0.2313,18.4635
2024-07-03 23:33:12,80,31.8000,277.2223,0.2304,18.0727
2024-07-03 23:33:32,80,31.8000,277.6791,0.2309,12.4059
2024-07-03 23:33:52,80,31.8000,277.2154,0.2304,8.3024
2024-07-03 23:34:12,80,31.8000,280.2071,0.2338,21.7854
2024-07-03 23:34:32,80,31.8000,283.2547,0.2373,9.2795
2024-07-03 23:34:52,80,31.8000,284.3008,0.2385,4.9805
2024-07-03 23:35:12,80,31.8000,281.9324,0.2358,17.0957
2024-07-03 23:35:32,80,31.8000,285.2965,0.2397,0.0000
2024-07-03 23:36:32,80,31.8000,281.2353,0.2350,17.4865
2024-07-03 23:36:52,80,31.8000,282.4139,0.2363,11.8197
2024-07-03 23:35:52,80,31.8000,286.0185,0.2405,15.5324
2024-07-03 23:37:12,80,31.8000,282.9557,0.2370,0.0000
2024-07-03 23:37:32,80,31.8000,282.8725,0.2369,26.4751
2024-07-03 23:37:52,80,31.8000,283.4582,0.2375,28.0383
2024-07-03 23:38:12,80,31.3000,282.2547,0.2362,7.1300
2024-07-03 23:38:32,80,31.3000,285.4610,0.2398,24.3256
2024-07-03 23:38:52,80,31.3000,283.2287,0.2372,12.6013
2024-07-03 23:39:12,80,31.3000,284.4763,0.2387,10.2565
2024-07-03 23:39:32,80,31.3000,287.0855,0.2416,9.8657
2024-07-03 23:39:52,80,31.3000,285.2836,0.2396,13.1876
2024-07-03 23:40:12,80,31.3000,287.0251,0.2416,21.7854
2024-07-03 23:40:32,80,31.3000,288.4715,0.2433,21.9808
2024-07-03 23:40:52,80,31.3000,289.8326,0.2449,21.0038
2024-07-03 23:41:12,80,31.3000,286.6455,0.2412,2.4403
2024-07-03 23:41:32,80,31.3000,285.4947,0.2399,6.9346
2024-07-03 23:41:52,80,31.3000,285.1566,0.2395,30.7740
2024-07-03 23:42:12,80,31.3000,281.7534,0.2357,6.5438
2024-07-03 23:42:32,80,31.3000,278.0242,0.2314,18.8543
2024-07-03 23:42:52,80,31.3000,277.9414,0.2313,21.1992
2024-07-03 23:43:12,80,31.3000,276.6148,0.2299,23.9348
2024-07-03 23:43:32,80,31.3000,272.7891,0.2255,16.7048
2024-07-03 23:43:52,80,31.3000,271.4995,0.2240,17.2911
2024-07-03 23:44:12,80,31.3000,268.6047,0.2207,21.7854
2024-07-03 23:44:32,80,31.3000,267.5760,0.2195,28.0383
2024-07-03 23:44:52,80,31.3000,271.1034,0.2236,16.7048
2024-07-03 23:45:12,79,31.3000,266.2773,0.2181,15.5324
2024-07-03 23:45:32,79,31.3000,268.0781,0.2201,12.4059
2024-07-03 23:45:52,79,31.3000,266.4348,0.2183,12.9921
2024-07-03 23:46:12,79,31.3000,265.2997,0.2170,24.9119
2024-07-03 23:46:32,79,31.3000,266.2507,0.2181,9.2795
2024-07-03 23:46:52,79,31.3000,264.6718,0.2163,14.9462
2024-07-03 23:47:12,79,31.3000,262.3420,0.2137,20.0267
2024-07-03 23:47:32,79,31.3000,260.8929,0.2121,21.1992
2024-07-03 23:47:52,79,31.3000,263.4676,0.2150,7.3254
2024-07-03 23:48:12,79,31.3000,257.8556,0.2087,27.0613
2024-07-03 23:48:32,79,31.3000,260.7356,0.2119,22.3716
2024-07-03 23:48:52,79,31.3000,259.4468,0.2104,8.1070
2024-07-03 23:49:12,79,31.3000,262.7705,0.2141,14.1646
2024-07-03 23:49:32,79,31.3000,260.4197,0.2115,20.6129
2024-07-03 23:49:52,79,31.3000,261.8774,0.2131,12.4059
2024-07-03 23:50:12,79,31.3000,262.8702,0.2142,27.4521
2024-07-03 23:50:32,79,31.3000,264.9652,0.2165,10.6473
2024-07-03 23:50:52,79,31.3000,264.2347,0.2157,3.6127
2024-07-03 23:51:12,79,31.3000,262.2426,0.2135,19.0497
2024-07-03 23:51:32,79,31.3000,263.2267,0.2146,21.7854
2024-07-03 23:51:52,79,31.3000,261.7081,0.2129,9.4749
2024-07-03 23:52:12,79,31.3000,258.8543,0.2098,12.7967
2024-07-03 23:52:32,79,31.3000,255.5306,0.2061,12.6013
2024-07-03 23:52:52,79,31.3000,256.6410,0.2073,12.4059
2024-07-03 23:53:12,79,31.3000,253.2483,0.2035,24.9119
2024-07-03 23:53:32,79,31.3000,251.1700,0.2013,17.6819
2024-07-03 23:53:52,79,31.3000,249.2190,0.1991,25.3027
2024-07-03 23:54:12,79,31.3000,248.6501,0.1985,0.0000
2024-07-03 23:54:32,79,31.3000,248.1395,0.1979,24.9119
2024-07-03 23:54:52,79,31.3000,247.2244,0.1969,30.3832
2024-07-03 23:55:12,79,31.3000,247.2244,0.1969,15.7278
2024-07-03 23:55:32,79,31.3000,250.3757,0.2003,17.6819
2024-07-03 23:55:52,79,31.3000,249.1652,0.1990,23.5440
2024-07-03 23:56:12,79,31.3000,244.7520,0.1942,20.8084
2024-07-03 23:56:32,79,31.3000,247.0627,0.1968,21.5900
2024-07-03 23:56:52,79,31.3000,247.9407,0.1977,23.9348
2024-07-03 23:57:12,79,31.3000,246.8127,0.1965,21.1992
2024-07-03 23:57:32,79,31.3000,248.3355,0.1982,21.3946
2024-07-03 23:57:52,79,31.3000,248.0485,0.1979,12.6013
2024-07-03 23:58:12,79,31.3000,248.9636,0.1989,27.6475
2024-07-03 23:58:32,79,31.3000,247.1878,0.1969,23.9348
2024-07-03 23:58:52,79,31.3000,244.3001,0.1938,20.4175
2024-07-03 23:59:12,79,31.3000,247.8281,0.1976,16.7048
2024-07-03 23:59:32,79,31.3000,248.9204,0.1988,15.9232
